title,id,commentCount,dislikeCount,likeCount,viewCount,channelId,channelTitle,timestamp
NETFLIX Actually Did Something... GOOD?,gmUZs8ptF00,17160,3567,102757,487648,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515607164
Problematic Meme,tPTx06WOrx8,20037,4539,214699,3973862,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515522534
MY SETUP TOUR 2018 v2,A9rOTxy_Aps,10896,1620,102153,1475624,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515518874
EVERYONE NEEDS A HERO,x2oA0HZS1BI,77134,12660,513189,6078939,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515346154
STREAM FAILS,Q7vJhDbynMo,28269,4965,326404,4340318,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515265138
YOUTUBE TOUCHED MY SPAGET,KwIUp8NWIVw,31166,5001,477463,6732661,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515173886
LOGAN PAUL TIDE POD MEMES [MEME REVIEW] 👏 👏 #5,l6YiAqOgGOI,38836,8852,305457,5657854,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515086218
NICE GUY PEWDIEPIE,qhcdpM69ih4,31343,5945,412280,4751506,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1515000283
LOGAN PAUL,nFmSepfF48o,154195,86311,1363303,20697357,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514911018
BAN THIS GAME / VR Chat #0004,YphyH9ot8EM,13905,3715,165951,3638018,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514837285
1000000000000000000% SAVAGE MAN - YLYL #0013,JlW68LhC1zk,27911,10040,295069,5112829,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514747702
PEWDIEPIE QUIZ 2017 / Animal Super Squad /,LzsdOmIu4d4,8074,3010,127611,2468451,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514662395
VINERS WELCOME!,5atVDycaXWM,31758,6626,444555,5953220,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514653973
I WON MOST HANDSOME 2017! - LWIAY #0017,EQ4NEBPU-Hw,21046,2679,337986,3609071,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514566194
DONT TELL MY GIRLFRIEND!,6zOC8QmBHMk,15578,2305,170230,2865598,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514486061
WARNING : ONLY INTELLEGENT PEOPLE CAN WATCH THIS.,s26JfwmlIKc,27200,4698,389988,3879381,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514405416
THIS MAN SHOULD'VE BEEN IN YOUTUBE REWIND.,CvyzBMTQa40,17406,3487,196525,2828410,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514308578
2017 REVIEW!,hnUMnnsO4qI,40343,2608,361836,3245002,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514220391
JAPANESE SHIA LABEOUF - YLYL #0014,JBp9w_W4neM,21573,6165,258303,4242995,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514139125
RICK AND MORTY IS DEEP!,hnzas4FtAsg,7142,2795,186071,2511610,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514072641
NET NEUTRALITY MEMES [MEME REVIEW] 👏 👏 #4,U8LHgq3Jlnw,15167,7827,271865,4764825,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1514053068
"This hit me out of nowhere... - Finding Paradise - #5 ENDING, FINAL",5Oh-CW3nSIU,8651,2073,58129,1478643,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513971239
"I MADE IT TO THE TOP! / Getting Over It / #8 FINAL, ENDING",AP1Scjdy_Kc,29061,3963,527022,4746338,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513964478
This game will be the end of me...  Finding Paradise - #4,LTCy3sao7bI,4319,2144,43822,1309299,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513885418
WHAT WENT . . . . . WRONG? - LWIAY #0016,2EPi1R9oZIw,18869,4440,302728,6161817,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513878144
THE FEEEEEEEEELLS!!! - Finding Paradise - #3,6DzTxyPHg2s,6367,2565,56231,1279315,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513798252
I AM A THIEF! (Storytime),qoqGkjDojzo,10084,3150,174636,2494007,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513789383
STAR WARS: THE LAST JEDI (spoilers),Ymt4lpzv62g,38935,15477,227654,2911240,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513710637
A CHILDHOOD ROMANCE - Finding Paradise #2,HiO12Ut2zm4,4839,1636,51728,1378250,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513634740
THE IMPOSSIBLE QUIZ! - The Impossible Quizmas,C7eMPUVEH00,10657,2119,158780,2589234,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513617893
100000% U WILL LAFF (FAMILY FRIENDLY v7) + RIP Slippy,Ni9yip7Ev_w,17817,3934,163606,2801206,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513542454
PREPARE TO CRY! - Finding Paradise #1,jwzcq0sZUVI,11293,2307,103607,2535555,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513527074
THE PEWDIEPIE CULT / VR Chat #0003,XYJu1hHF7AU,35362,5233,198923,2907591,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513448385
DO NOT RIDE SNAKE / Getting Over It / #7,KQz9LftS6ls,25280,6253,330021,4700242,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513359150
THE DISASTER ARTIST,XWj37S4qJes,10909,2963,175941,3064228,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513271745
ZOOTOPIA MEME [MEME REVIEW] 👏 👏 #3,qhu7Xhrt2dE,21802,7161,255216,4434953,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513100251
The REAL reason I wasnt in YouTube Rewind,bT-yZf7hisI,23606,9172,378316,6303897,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1513016503
"NO, IM NOT INSANE.!!!!!!!!!             !!!!!!!!!!! / Getting Over It / #6",OC9_1UwzWlQ,24860,4185,558119,4329741,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512923021
NO ONE SHOULD EVER PLAY THIS GAME EVER - Doki Doki Literature Club - Part 6 FINAL,nRqc70gVNuI,21744,2003,132316,2692131,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512851651
THE GAME OF THE YEAR 2017...,8sBoyO_4FbI,12777,4123,170941,3942010,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512840725
now i regret ever playing this game... Doki Doki Literature Club - Part 5,Ef42EJcu-T4,16945,1745,95793,2674391,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512765743
PETTING DOG MEME. (Important) [MEME REVIEW] 👏 👏 #2,M3BlpkaZp-k,17538,3917,199058,3067229,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512754521
it finally happened... Doki Doki Literature Club - Part 4,x_zQcwbgGmc,22360,3153,110812,3114791,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512672516
Why I'm not in YouTube Rewind 2017,w4AImq08j9o,88118,30454,949978,18524320,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512667136
DON'T TELL MARZIA: THE GAME - Doki Doki Literature Club - Part 3,5HmKeuw5ntY,13147,2417,90286,2580515,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512595136
99% CANT WATCH THIS WITHOUT FEELING PHYSICAL PAIN - YLYL #0012,nycjXKDmILU,24878,4913,280451,5592088,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512586767
RESPECT WHAMEN: THE GAME. Doki Doki Literature Club - Part 2,mGZC61dBIWg,12622,2721,95180,2794543,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512504078
ITS ALL OVER NOW... (Bourbon Whiskey Review),nE-Q6YlaXyE,18633,4397,185373,2523882,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512494988
THIS game is scary?????????????????????how??????????? - Doki Doki Literature Club - Part 1,8aZAaSZfqqA,28031,5631,151259,4004282,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512408740
WHO WORE IT BETTER? - LWIAY - #0014,0JJr9uZodg8,12046,3107,228715,3876708,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512322421
E N O U G H ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !! ! ! ! ! ! ! / Getting Over It / #5,NA1sartCxl0,23059,3350,232977,4043403,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512235501
YOUTUBE'S SECRET UNCOVERED!,8piA_MQ5gQQ,12267,1973,208632,2665686,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512148477
THE MOST HATED PERSON ON THE INTERNET (Net Neutrality),TsVpk00atGc,19125,4996,198326,4182719,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1512084500
THIS KID IS GETTING SUED *and you'll never guess why*,QcrPSWnozmk,18694,2812,172069,3099382,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511975595
I GIVE UP... / Getting Over It / #4,A7_3IvchOhk,19241,4882,237233,4599123,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511890902
NEVER LET GO!,pDUGmRMx4g0,10320,2440,116664,2389774,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511714747
40 Year Old Pewdiepie...? - LWIAY - #0013,Oq9Hmq9UeNM,23120,5499,331168,5019038,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511630904
"Scorn - Part 1 - NO ""EW"" 99% IMPOSSIBLE",J8V_PqkTrrA,18742,3121,175300,3828986,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511552111
PEWDIEPIE'S CHALLENGE -  Animal Super Squad #3,fG0xdaqYHvA,5783,1928,83752,1587243,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511476176
Stolen Bike Meme [MEME REVIEW] 👏 👏 #1,-KE8v44VS_k,16341,3757,238427,3074483,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511459472
I'm getting cyber bullied... VR Chat #0002,Ln_iHvT4EW8,9594,2904,130703,3074954,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511370709
HUGE ANNOUNCEMENT!,lE97ee-MmN8,20191,3440,200473,2426445,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511284981
LAUGH WHILE WATCHING THIS VIDEO YOU WILL LOSE MY CHALLENGE - YLYL #0011,O5nolC9Eecw,20050,4538,209936,4842026,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511207407
THIS GAME SHOULD BE ILLEGAL / Getting Over It / #3,bcvxz2IrtA4,14430,2232,198662,4133862,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511200280
IS THAT A MICROAGGRESSION??,hrDgvIOV6CQ,20727,3414,247735,3340574,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1511117914
LIKE THIS VIDEO FOR A FREE LOOTBOX!,F0c8U3x_vKM,17384,3930,236433,2727075,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1510935925
WE ARE ALL GOING TO D1E. (AI),XlCHEONTqnc,20228,3827,215166,3144864,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1510854811
ANGRY SWEDISH BOY GETS ANGRY / Getting Over It / #2,Ro0Q4ehyGQc,30743,2698,212579,4030281,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1510766366
WE CANT LET JAKE PAUL BEAT ME! - LWIAY - #0012,PEk06otFocA,17687,8758,294977,5015695,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1510680626
THE LEGEND OF CHRIS CHAN,VvQ8HbaJeC0,20739,4209,199512,3430395,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,1510508927
